,symbol,longShortRatio,timestamp
0,BTCUSDT,1.6903,2024-08-19 21:30:00
1,BTCUSDT,1.5667,2024-08-19 22:00:00
2,BTCUSDT,1.5170,2024-08-19 22:30:00
3,BTCUSDT,1.4606,2024-08-19 23:00:00
4,BTCUSDT,1.4225,2024-08-19 23:30:00
5,BTCUSDT,1.4207,2024-08-20 00:00:00
6,BTCUSDT,1.3975,2024-08-20 00:30:00
7,BTCUSDT,1.3872,2024-08-20 01:00:00
8,BTCUSDT,1.3441,2024-08-20 01:30:00
9,BTCUSDT,1.3207,2024-08-20 02:00:00
10,BTCUSDT,1.3015,2024-08-20 02:30:00
11,BTCUSDT,1.2655,2024-08-20 03:00:00
12,BTCUSDT,1.2381,2024-08-20 03:30:00
13,BTCUSDT,1.2158,2024-08-20 04:00:00
14,BTCUSDT,1.1872,2024-08-20 04:30:00
15,BTCUSDT,1.1887,2024-08-20 05:00:00
16,BTCUSDT,1.1566,2024-08-20 05:30:00
17,BTCUSDT,1.1575,2024-08-20 06:00:00
18,BTCUSDT,1.1867,2024-08-20 06:30:00
19,BTCUSDT,1.1753,2024-08-20 07:00:00
20,BTCUSDT,1.1730,2024-08-20 07:30:00
21,BTCUSDT,1.1716,2024-08-20 08:00:00
22,BTCUSDT,1.1473,2024-08-20 08:30:00
23,BTCUSDT,1.1720,2024-08-20 09:00:00
24,BTCUSDT,1.1997,2024-08-20 09:30:00
25,BTCUSDT,1.1944,2024-08-20 10:00:00
26,BTCUSDT,1.1887,2024-08-20 10:30:00
27,BTCUSDT,1.2462,2024-08-20 11:00:00
28,BTCUSDT,1.3063,2024-08-20 11:30:00
29,BTCUSDT,1.4594,2024-08-20 12:00:00
30,BTCUSDT,1.7196,2024-08-20 12:30:00
31,BTCUSDT,1.8201,2024-08-20 13:00:00
32,BTCUSDT,1.8877,2024-08-20 13:30:00
33,BTCUSDT,1.9257,2024-08-20 14:00:00
34,BTCUSDT,1.9700,2024-08-20 14:30:00
35,BTCUSDT,2.0386,2024-08-20 15:00:00
36,BTCUSDT,2.0684,2024-08-20 15:30:00
37,BTCUSDT,2.0157,2024-08-20 16:00:00
38,BTCUSDT,2.0130,2024-08-20 16:30:00
39,BTCUSDT,2.0358,2024-08-20 17:00:00
40,BTCUSDT,2.0312,2024-08-20 17:30:00
41,BTCUSDT,1.9860,2024-08-20 18:00:00
42,BTCUSDT,1.9630,2024-08-20 18:30:00
43,BTCUSDT,1.9904,2024-08-20 19:00:00
44,BTCUSDT,1.9860,2024-08-20 19:30:00
45,BTCUSDT,1.9656,2024-08-20 20:00:00
46,BTCUSDT,1.9360,2024-08-20 20:30:00
47,BTCUSDT,1.9257,2024-08-20 21:00:00
48,BTCUSDT,1.9612,2024-08-20 21:30:00
49,BTCUSDT,1.9386,2024-08-20 22:00:00
50,BTCUSDT,1.9172,2024-08-20 22:30:00
51,BTCUSDT,1.9394,2024-08-20 23:00:00
52,BTCUSDT,1.9231,2024-08-20 23:30:00
53,BTCUSDT,1.9214,2024-08-21 00:00:00
54,BTCUSDT,1.9061,2024-08-21 00:30:00
55,BTCUSDT,1.8893,2024-08-21 01:00:00
56,BTCUSDT,1.8927,2024-08-21 01:30:00
57,BTCUSDT,1.9019,2024-08-21 02:00:00
58,BTCUSDT,1.9028,2024-08-21 02:30:00
59,BTCUSDT,1.8902,2024-08-21 03:00:00
60,BTCUSDT,1.9386,2024-08-21 03:30:00
61,BTCUSDT,1.9019,2024-08-21 04:00:00
62,BTCUSDT,1.9036,2024-08-21 04:30:00
63,BTCUSDT,1.9019,2024-08-21 05:00:00
64,BTCUSDT,1.8662,2024-08-21 05:30:00
65,BTCUSDT,1.8514,2024-08-21 06:00:00
66,BTCUSDT,1.8106,2024-08-21 06:30:00
67,BTCUSDT,1.8361,2024-08-21 07:00:00
68,BTCUSDT,1.8361,2024-08-21 07:30:00
69,BTCUSDT,1.8385,2024-08-21 08:00:00
70,BTCUSDT,1.8137,2024-08-21 08:30:00
71,BTCUSDT,1.8137,2024-08-21 09:00:00
72,BTCUSDT,1.7925,2024-08-21 09:30:00
73,BTCUSDT,1.7910,2024-08-21 10:00:00
74,BTCUSDT,1.7855,2024-08-21 10:30:00
75,BTCUSDT,1.8161,2024-08-21 11:00:00
76,BTCUSDT,1.7778,2024-08-21 11:30:00
77,BTCUSDT,1.8345,2024-08-21 12:00:00
78,BTCUSDT,1.8265,2024-08-21 12:30:00
79,BTCUSDT,1.7996,2024-08-21 13:00:00
80,BTCUSDT,1.8337,2024-08-21 13:30:00
81,BTCUSDT,1.7533,2024-08-21 14:00:00
82,BTCUSDT,1.7375,2024-08-21 14:30:00
83,BTCUSDT,1.6903,2024-08-21 15:00:00
84,BTCUSDT,1.6490,2024-08-21 15:30:00
85,BTCUSDT,1.4975,2024-08-21 16:00:00
86,BTCUSDT,1.3730,2024-08-21 16:30:00
87,BTCUSDT,1.3095,2024-08-21 17:00:00
88,BTCUSDT,1.2065,2024-08-21 17:30:00
89,BTCUSDT,1.1997,2024-08-21 18:00:00
90,BTCUSDT,1.1983,2024-08-21 18:30:00
91,BTCUSDT,1.1782,2024-08-21 19:00:00
92,BTCUSDT,1.1706,2024-08-21 19:30:00
93,BTCUSDT,1.1515,2024-08-21 20:00:00
94,BTCUSDT,1.1404,2024-08-21 20:30:00
95,BTCUSDT,1.1290,2024-08-21 21:00:00
96,BTCUSDT,1.1186,2024-08-21 21:30:00
97,BTCUSDT,1.0912,2024-08-21 22:00:00
98,BTCUSDT,1.1030,2024-08-21 22:30:00
99,BTCUSDT,1.1026,2024-08-21 23:00:00
100,BTCUSDT,1.0991,2024-08-21 23:30:00
101,BTCUSDT,1.2232,2024-08-22 00:00:00
102,BTCUSDT,1.2512,2024-08-22 00:30:00
103,BTCUSDT,1.2826,2024-08-22 01:00:00
104,BTCUSDT,1.2915,2024-08-22 01:30:00
105,BTCUSDT,1.2978,2024-08-22 02:00:00
106,BTCUSDT,1.2722,2024-08-22 02:30:00
107,BTCUSDT,1.2497,2024-08-22 03:00:00
108,BTCUSDT,1.2732,2024-08-22 03:30:00
109,BTCUSDT,1.2743,2024-08-22 04:00:00
110,BTCUSDT,1.2722,2024-08-22 04:30:00
111,BTCUSDT,1.2920,2024-08-22 05:00:00
112,BTCUSDT,1.2650,2024-08-22 05:30:00
113,BTCUSDT,1.2604,2024-08-22 06:00:00
114,BTCUSDT,1.2406,2024-08-22 06:30:00
115,BTCUSDT,1.2321,2024-08-22 07:00:00
116,BTCUSDT,1.2422,2024-08-22 07:30:00
117,BTCUSDT,1.2477,2024-08-22 08:00:00
118,BTCUSDT,1.2070,2024-08-22 08:30:00
119,BTCUSDT,1.2036,2024-08-22 09:00:00
120,BTCUSDT,1.1749,2024-08-22 09:30:00
121,BTCUSDT,1.1834,2024-08-22 10:00:00
122,BTCUSDT,1.1867,2024-08-22 10:30:00
123,BTCUSDT,1.2331,2024-08-22 11:00:00
124,BTCUSDT,1.2774,2024-08-22 11:30:00
125,BTCUSDT,1.3004,2024-08-22 12:00:00
126,BTCUSDT,1.3419,2024-08-22 12:30:00
127,BTCUSDT,1.3992,2024-08-22 13:00:00
128,BTCUSDT,1.4307,2024-08-22 13:30:00
129,BTCUSDT,1.4462,2024-08-22 14:00:00
130,BTCUSDT,1.4618,2024-08-22 14:30:00
131,BTCUSDT,1.4734,2024-08-22 15:00:00
132,BTCUSDT,1.4826,2024-08-22 15:30:00
133,BTCUSDT,1.4845,2024-08-22 16:00:00
134,BTCUSDT,1.5113,2024-08-22 16:30:00
135,BTCUSDT,1.5278,2024-08-22 17:00:00
136,BTCUSDT,1.5310,2024-08-22 17:30:00
137,BTCUSDT,1.5349,2024-08-22 18:00:00
138,BTCUSDT,1.5323,2024-08-22 18:30:00
139,BTCUSDT,1.5361,2024-08-22 19:00:00
140,BTCUSDT,1.5355,2024-08-22 19:30:00
141,BTCUSDT,1.5394,2024-08-22 20:00:00
142,BTCUSDT,1.5394,2024-08-22 20:30:00
143,BTCUSDT,1.5667,2024-08-22 21:00:00
144,BTCUSDT,1.5767,2024-08-22 21:30:00
145,BTCUSDT,1.5407,2024-08-22 22:00:00
146,BTCUSDT,1.5355,2024-08-22 22:30:00
147,BTCUSDT,1.5387,2024-08-22 23:00:00
148,BTCUSDT,1.5407,2024-08-22 23:30:00
149,BTCUSDT,1.5316,2024-08-23 00:00:00
150,BTCUSDT,1.5342,2024-08-23 00:30:00
151,BTCUSDT,1.5368,2024-08-23 01:00:00
152,BTCUSDT,1.5641,2024-08-23 01:30:00
153,BTCUSDT,1.5621,2024-08-23 02:00:00
154,BTCUSDT,1.4950,2024-08-23 02:30:00
155,BTCUSDT,1.4888,2024-08-23 03:00:00
156,BTCUSDT,1.4600,2024-08-23 03:30:00
157,BTCUSDT,1.3810,2024-08-23 04:00:00
158,BTCUSDT,1.3579,2024-08-23 04:30:00
159,BTCUSDT,1.3624,2024-08-23 05:00:00
160,BTCUSDT,1.3759,2024-08-23 05:30:00
161,BTCUSDT,1.3474,2024-08-23 06:00:00
162,BTCUSDT,1.3148,2024-08-23 06:30:00
163,BTCUSDT,1.2957,2024-08-23 07:00:00
164,BTCUSDT,1.3057,2024-08-23 07:30:00
165,BTCUSDT,1.3047,2024-08-23 08:00:00
166,BTCUSDT,1.3041,2024-08-23 08:30:00
167,BTCUSDT,1.3299,2024-08-23 09:00:00
168,BTCUSDT,1.3742,2024-08-23 09:30:00
169,BTCUSDT,1.3652,2024-08-23 10:00:00
170,BTCUSDT,1.3585,2024-08-23 10:30:00
171,BTCUSDT,1.3529,2024-08-23 11:00:00
172,BTCUSDT,1.2217,2024-08-23 11:30:00
173,BTCUSDT,1.3326,2024-08-23 12:00:00
174,BTCUSDT,1.3089,2024-08-23 12:30:00
175,BTCUSDT,1.2306,2024-08-23 13:00:00
176,BTCUSDT,1.2346,2024-08-23 13:30:00
177,BTCUSDT,1.2302,2024-08-23 14:00:00
178,BTCUSDT,1.2158,2024-08-23 14:30:00
179,BTCUSDT,1.0842,2024-08-23 15:00:00
180,BTCUSDT,1.0125,2024-08-23 15:30:00
181,BTCUSDT,0.9643,2024-08-23 16:00:00
182,BTCUSDT,0.9771,2024-08-23 16:30:00
183,BTCUSDT,0.9459,2024-08-23 17:00:00
184,BTCUSDT,0.9316,2024-08-23 17:30:00
185,BTCUSDT,0.9084,2024-08-23 18:00:00
186,BTCUSDT,0.9600,2024-08-23 18:30:00
187,BTCUSDT,0.9505,2024-08-23 19:00:00
188,BTCUSDT,0.9448,2024-08-23 19:30:00
189,BTCUSDT,0.9264,2024-08-23 20:00:00
190,BTCUSDT,0.9246,2024-08-23 20:30:00
191,BTCUSDT,0.9029,2024-08-23 21:00:00
192,BTCUSDT,0.8993,2024-08-23 21:30:00
193,BTCUSDT,0.9073,2024-08-23 22:00:00
194,BTCUSDT,0.8850,2024-08-23 22:30:00
195,BTCUSDT,0.8871,2024-08-23 23:00:00
196,BTCUSDT,0.8975,2024-08-23 23:30:00
197,BTCUSDT,0.9011,2024-08-24 00:00:00
198,BTCUSDT,0.9037,2024-08-24 00:30:00
199,BTCUSDT,0.8961,2024-08-24 01:00:00
200,BTCUSDT,0.8993,2024-08-24 01:30:00
201,BTCUSDT,0.8968,2024-08-24 02:00:00
202,BTCUSDT,0.9048,2024-08-24 02:30:00
203,BTCUSDT,0.9095,2024-08-24 03:00:00
204,BTCUSDT,0.9128,2024-08-24 03:30:00
205,BTCUSDT,0.9406,2024-08-24 04:00:00
206,BTCUSDT,0.9486,2024-08-24 04:30:00
207,BTCUSDT,0.9566,2024-08-24 05:00:00
208,BTCUSDT,0.9433,2024-08-24 05:30:00
209,BTCUSDT,0.9482,2024-08-24 06:00:00
210,BTCUSDT,0.9376,2024-08-24 06:30:00
211,BTCUSDT,0.9331,2024-08-24 07:00:00
212,BTCUSDT,0.9298,2024-08-24 07:30:00
213,BTCUSDT,0.9062,2024-08-24 08:00:00
214,BTCUSDT,0.9001,2024-08-24 08:30:00
215,BTCUSDT,0.8868,2024-08-24 09:00:00
216,BTCUSDT,0.9059,2024-08-24 09:30:00
217,BTCUSDT,0.9066,2024-08-24 10:00:00
218,BTCUSDT,0.9161,2024-08-24 10:30:00
219,BTCUSDT,0.9183,2024-08-24 11:00:00
220,BTCUSDT,0.9227,2024-08-24 11:30:00
221,BTCUSDT,0.9260,2024-08-24 12:00:00
222,BTCUSDT,0.9231,2024-08-24 12:30:00
223,BTCUSDT,0.9153,2024-08-24 13:00:00
224,BTCUSDT,0.9531,2024-08-24 13:30:00
225,BTCUSDT,0.9604,2024-08-24 14:00:00
226,BTCUSDT,0.9643,2024-08-24 14:30:00
227,BTCUSDT,0.9681,2024-08-24 15:00:00
228,BTCUSDT,0.9543,2024-08-24 15:30:00
229,BTCUSDT,0.9596,2024-08-24 16:00:00
230,BTCUSDT,0.9631,2024-08-24 16:30:00
231,BTCUSDT,0.9558,2024-08-24 17:00:00
232,BTCUSDT,0.9592,2024-08-24 17:30:00
233,BTCUSDT,0.9589,2024-08-24 18:00:00
234,BTCUSDT,0.9608,2024-08-24 18:30:00
235,BTCUSDT,0.9309,2024-08-24 19:00:00
236,BTCUSDT,0.9467,2024-08-24 19:30:00
237,BTCUSDT,0.9508,2024-08-24 20:00:00
238,BTCUSDT,0.9558,2024-08-24 20:30:00
239,BTCUSDT,0.9627,2024-08-24 21:00:00
240,BTCUSDT,0.9470,2024-08-24 21:30:00
241,BTCUSDT,0.9290,2024-08-24 22:00:00
242,BTCUSDT,0.9275,2024-08-24 22:30:00
243,BTCUSDT,0.9231,2024-08-24 23:00:00
244,BTCUSDT,0.9301,2024-08-24 23:30:00
245,BTCUSDT,0.9257,2024-08-25 00:00:00
246,BTCUSDT,0.9238,2024-08-25 00:30:00
247,BTCUSDT,0.9190,2024-08-25 01:00:00
248,BTCUSDT,0.9172,2024-08-25 01:30:00
249,BTCUSDT,0.9275,2024-08-25 02:00:00
250,BTCUSDT,0.9369,2024-08-25 02:30:00
251,BTCUSDT,0.9324,2024-08-25 03:00:00
252,BTCUSDT,0.9279,2024-08-25 03:30:00
253,BTCUSDT,0.9238,2024-08-25 04:00:00
254,BTCUSDT,0.9106,2024-08-25 04:30:00
255,BTCUSDT,0.9102,2024-08-25 05:00:00
256,BTCUSDT,0.9238,2024-08-25 05:30:00
257,BTCUSDT,0.9216,2024-08-25 06:00:00
258,BTCUSDT,0.9194,2024-08-25 06:30:00
259,BTCUSDT,0.9305,2024-08-25 07:00:00
260,BTCUSDT,0.9372,2024-08-25 07:30:00
261,BTCUSDT,0.9339,2024-08-25 08:00:00
262,BTCUSDT,0.9474,2024-08-25 08:30:00
263,BTCUSDT,0.9524,2024-08-25 09:00:00
264,BTCUSDT,0.9569,2024-08-25 09:30:00
265,BTCUSDT,0.9616,2024-08-25 10:00:00
266,BTCUSDT,0.9743,2024-08-25 10:30:00
267,BTCUSDT,0.9775,2024-08-25 11:00:00
268,BTCUSDT,0.9666,2024-08-25 11:30:00
269,BTCUSDT,0.9654,2024-08-25 12:00:00
270,BTCUSDT,0.9650,2024-08-25 12:30:00
271,BTCUSDT,0.9531,2024-08-25 13:00:00
272,BTCUSDT,0.9474,2024-08-25 13:30:00
273,BTCUSDT,0.9429,2024-08-25 14:00:00
274,BTCUSDT,0.9467,2024-08-25 14:30:00
275,BTCUSDT,0.9524,2024-08-25 15:00:00
276,BTCUSDT,0.9535,2024-08-25 15:30:00
277,BTCUSDT,0.9554,2024-08-25 16:00:00
278,BTCUSDT,0.9527,2024-08-25 16:30:00
279,BTCUSDT,0.9520,2024-08-25 17:00:00
280,BTCUSDT,0.9497,2024-08-25 17:30:00
281,BTCUSDT,0.9459,2024-08-25 18:00:00
282,BTCUSDT,0.9516,2024-08-25 18:30:00
283,BTCUSDT,0.9501,2024-08-25 19:00:00
284,BTCUSDT,0.9486,2024-08-25 19:30:00
285,BTCUSDT,0.9455,2024-08-25 20:00:00
286,BTCUSDT,0.9335,2024-08-25 20:30:00
287,BTCUSDT,0.9387,2024-08-25 21:00:00
288,BTCUSDT,0.9339,2024-08-25 21:30:00
289,BTCUSDT,0.9335,2024-08-25 22:00:00
290,BTCUSDT,0.9372,2024-08-25 22:30:00
291,BTCUSDT,0.9354,2024-08-25 23:00:00
292,BTCUSDT,0.9459,2024-08-25 23:30:00
293,BTCUSDT,0.9543,2024-08-26 00:00:00
294,BTCUSDT,0.9643,2024-08-26 00:30:00
295,BTCUSDT,0.9654,2024-08-26 01:00:00
296,BTCUSDT,0.9732,2024-08-26 01:30:00
297,BTCUSDT,0.9697,2024-08-26 02:00:00
298,BTCUSDT,0.9689,2024-08-26 02:30:00
299,BTCUSDT,0.9747,2024-08-26 03:00:00
300,BTCUSDT,0.9689,2024-08-26 03:30:00
301,BTCUSDT,0.9720,2024-08-26 04:00:00
302,BTCUSDT,0.9837,2024-08-26 04:30:00
303,BTCUSDT,0.9826,2024-08-26 05:00:00
304,BTCUSDT,0.9944,2024-08-26 05:30:00
305,BTCUSDT,1.0004,2024-08-26 06:00:00
306,BTCUSDT,1.0096,2024-08-26 06:30:00
307,BTCUSDT,1.0173,2024-08-26 07:00:00
308,BTCUSDT,1.0300,2024-08-26 07:30:00
309,BTCUSDT,1.0313,2024-08-26 08:00:00
310,BTCUSDT,1.0383,2024-08-26 08:30:00
311,BTCUSDT,1.0412,2024-08-26 09:00:00
312,BTCUSDT,1.0387,2024-08-26 09:30:00
313,BTCUSDT,1.0350,2024-08-26 10:00:00
314,BTCUSDT,1.0530,2024-08-26 10:30:00
315,BTCUSDT,1.0538,2024-08-26 11:00:00
316,BTCUSDT,1.0665,2024-08-26 11:30:00
317,BTCUSDT,1.0851,2024-08-26 12:00:00
318,BTCUSDT,1.0872,2024-08-26 12:30:00
319,BTCUSDT,1.0777,2024-08-26 13:00:00
320,BTCUSDT,1.0683,2024-08-26 13:30:00
321,BTCUSDT,1.0704,2024-08-26 14:00:00
322,BTCUSDT,1.0585,2024-08-26 14:30:00
323,BTCUSDT,1.0713,2024-08-26 15:00:00
324,BTCUSDT,1.0734,2024-08-26 15:30:00
325,BTCUSDT,1.0513,2024-08-26 16:00:00
326,BTCUSDT,1.0454,2024-08-26 16:30:00
327,BTCUSDT,1.0551,2024-08-26 17:00:00
328,BTCUSDT,1.0695,2024-08-26 17:30:00
329,BTCUSDT,1.0743,2024-08-26 18:00:00
330,BTCUSDT,1.0956,2024-08-26 18:30:00
331,BTCUSDT,1.1079,2024-08-26 19:00:00
332,BTCUSDT,1.1017,2024-08-26 19:30:00
333,BTCUSDT,1.1106,2024-08-26 20:00:00
334,BTCUSDT,1.1218,2024-08-26 20:30:00
335,BTCUSDT,1.1308,2024-08-26 21:00:00
336,BTCUSDT,1.1492,2024-08-26 21:30:00
337,BTCUSDT,1.1636,2024-08-26 22:00:00
338,BTCUSDT,1.1631,2024-08-26 22:30:00
339,BTCUSDT,1.1706,2024-08-26 23:00:00
340,BTCUSDT,1.1687,2024-08-26 23:30:00
341,BTCUSDT,1.1820,2024-08-27 00:00:00
342,BTCUSDT,1.2051,2024-08-27 00:30:00
343,BTCUSDT,1.2163,2024-08-27 01:00:00
344,BTCUSDT,1.2183,2024-08-27 01:30:00
345,BTCUSDT,1.2292,2024-08-27 02:00:00
346,BTCUSDT,1.2457,2024-08-27 02:30:00
347,BTCUSDT,1.2609,2024-08-27 03:00:00
348,BTCUSDT,1.2558,2024-08-27 03:30:00
349,BTCUSDT,1.3127,2024-08-27 04:00:00
350,BTCUSDT,1.3408,2024-08-27 04:30:00
351,BTCUSDT,1.3359,2024-08-27 05:00:00
352,BTCUSDT,1.3315,2024-08-27 05:30:00
353,BTCUSDT,1.3397,2024-08-27 06:00:00
354,BTCUSDT,1.3277,2024-08-27 06:30:00
355,BTCUSDT,1.3256,2024-08-27 07:00:00
356,BTCUSDT,1.3502,2024-08-27 07:30:00
357,BTCUSDT,1.3781,2024-08-27 08:00:00
358,BTCUSDT,1.4207,2024-08-27 08:30:00
359,BTCUSDT,1.4056,2024-08-27 09:00:00
360,BTCUSDT,1.4313,2024-08-27 09:30:00
361,BTCUSDT,1.4462,2024-08-27 10:00:00
362,BTCUSDT,1.4637,2024-08-27 10:30:00
363,BTCUSDT,1.4814,2024-08-27 11:00:00
364,BTCUSDT,1.6035,2024-08-27 11:30:00
365,BTCUSDT,1.6427,2024-08-27 12:00:00
366,BTCUSDT,1.7034,2024-08-27 12:30:00
367,BTCUSDT,1.7571,2024-08-27 13:00:00
368,BTCUSDT,1.8129,2024-08-27 13:30:00
369,BTCUSDT,1.8106,2024-08-27 14:00:00
370,BTCUSDT,1.8539,2024-08-27 14:30:00
371,BTCUSDT,1.8466,2024-08-27 15:00:00
372,BTCUSDT,1.8802,2024-08-27 15:30:00
373,BTCUSDT,1.8893,2024-08-27 16:00:00
374,BTCUSDT,1.9061,2024-08-27 16:30:00
375,BTCUSDT,1.8860,2024-08-27 17:00:00
376,BTCUSDT,1.8852,2024-08-27 17:30:00
377,BTCUSDT,1.8810,2024-08-27 18:00:00
